V,Draft,Trim,Ps
23.5,10.5,-2,24176.7
16,10.5,-1,7060.9
16,11.8,1,7512.4
24.5,10.5,4,32624.2
16,8.44,-0.88,7839.3
12,9.5,5,3402.1
22,10.5,-2,19000.9
18,11,2.4,11775.3
22,9.5,0,18494.4
14,11,-3,5226.7
14,7.04,0,5024.9
22,11.8,-3,20888.8
10,7.04,2,1764
12,10.5,1,3687.3
23.5,7.04,1.2,22134.2
18,10.5,0,10315.3
14,6.08,3.84,4276.1
12,11,4,3989
16,9.5,0,7684.1
14,10.5,2.4,6395.3
20,8.44,0,14873.3
12,9.5,0,3324.4
12,10.5,4,4160.7
20,11,-3,14638.1
22,10.5,2.4,21183.9
22,7.04,3,18322.6
22,11.8,0,21478
10,11,-3,1933.2
20,6.08,4.9,10827.9
23.5,12.6,3,32326.2
18,11.8,0,10665.7
10,7.04,1.2,1868.4
20,7.04,0,12957.7
10,12.6,-1,2053.8
18,9.5,-3,9591.8
18,11,-1,9905.7
22,6.08,0,15876.1
16,6.08,0,6986.1
18,7.04,4,10509.1
24.5,12.6,-1,34862.7
20,12.6,2,17788.7
23.5,8.44,5,25887.5
20,12.6,-2,16275.3
22,11,2.4,21525.2
12,11.8,3,3844.8
24.5,11.8,0,30835.5
23.5,12.6,-3,30349
16,11.8,-2,7261
22,11.8,-1,20812.8
23.5,11.8,-1,26421.3
20,7.04,1.2,13898.7
22,8.44,2,20673.6
14,10.5,-2,4726.3
18,11.8,1,10626.4
18,11.8,-3,10375.2
24.5,11,1,29488.9
20,12.6,-3,16616.5
10,10.5,2.4,2342
23.5,12.6,2,31205.1
23.5,9.5,5,25566.7
14,7.04,1.2,5496.8
23.5,9.5,0,23537.3
18,9.5,2.6,11779.5
22,7.04,0,16604.81
23.5,12.6,0,29503
16,10.5,-2,6881.3
24.5,11.8,-2,31415
20,12.6,1,17412.6
14,11.8,2,5555.6
24.5,9.5,-2,27728.1
16,6.08,6,5261.2
22,11.8,2,21449.5
16,10.5,2.4,9036.7
22,11.8,3,22390.2
23.5,7.04,4,23253.2
22,12.6,-2,22321.5
12,11,1,3347.8
16,9.5,-3,6877.9
10,7.04,0,1555.1
22,9.5,5,20871.5
12,8.44,1,3638.8
20,11.8,2,15912.2
14,7.04,5,4829.8
10,12.6,2,2186.8
20,9.5,2.6,15209.8
20,7.04,4,14346.8
18,12.6,-3,11569.4
22,8.44,0,19134.9
23.5,11,-3,23939.7
10,6.08,6,1251.9
10,8.44,2,1880.8
10,10.5,-1,1769.6
10,9.5,-1,1760.7
18,11.8,-2,10273.2
10,9.5,1,1886.9
12,6.08,4.9,2379.3
18,6.08,6,7540
20,8.44,4,15848.6
20,10.5,4,17556.7
23.5,12.6,-1,28922.1
16,11,-2,7031
16,12.6,-3,8148.9
18,9.5,-1,10150.3
20,9.5,5,16067.2
24.5,10.5,-3,30035.2
24.5,11.8,-1,30793.3
10,6.08,4.9,1367.9
23.5,10.5,1,24467.8
18,7.04,2,10557.8
16,7.04,4,7231.9
16,12.6,-1,8205.2
10,10.5,-3,1743.4
20,12.6,3,18646.1
16,11,4,9403.7
18,9.5,-2,9840
14,8.44,-0.88,5335.7
23.5,6.08,6,19742.4
10,10.5,-2,1647.3
14,11.8,0,4834.1
10,9.5,-3,1625.7
16,8.44,5,8602.4
14,10.5,-3,4798.8
23.5,9.5,2.6,23687.3
18,10.5,1,12010
10,8.44,3,1872.1
16,12.6,-2,8458.5
23.5,9.5,-2,23867.2
18,7.04,5,13934.6
14,11.8,-3,4766.9
14,11.8,3,6533.9
22,8.44,4,20496.4
12,11,-2,2967.3
10,11.8,2,1807.4
18,11,4,13263.3
18,8.44,0,11601.1
16,10.5,0,7143.8
24.5,8.44,3,30603
10,6.08,3.84,1608.7
18,11,-2,10225.1
16,9.5,-1,7374
10,8.44,4,1746.1
10,11.8,-2,1539.3
22,11,4,24428.5
12,8.44,0,3762.8
24.5,10.5,-1,28542.3
12,8.44,5,3297.6
16,7.04,2,7742.9
12,10.5,0,3213.9
24.5,6.08,3.84,24322.8
23.5,11,2.4,26685.8
18,11.8,3,12581
23.5,7.04,3,23127.7
10,12.6,-3,1974
10,8.44,0,2037.2
24.5,8.44,1,29500.6
22,12.6,0,23452.6
23.5,6.08,3.84,20476.1
22,8.44,5,20813.5
12,10.5,2.4,4015
10,6.08,1.05,1402.3
20,8.44,5,15994
24.5,7.04,4,26952.3
12,7.04,3,3083.2
18,6.08,4.9,8156.1
18,6.08,3.84,8579.7
24.5,12.6,-2,35815
20,12.6,-1,16310.3
12,7.04,1.2,3327.2
14,9.5,-2,4870.5
23.5,10.5,-1,23915.8
18,8.44,-0.88,10771.5
16,9.5,2.6,8531.6
23.5,8.44,3,25787.7
22,7.04,2,17795.55
24.5,12.6,-3,35996.9
16,11,-1,7231.6
22,12.6,-3,23462.2
22,11.8,1,20651.2
18,10.5,-3,10268.6
18,12.6,-1,11466.5
10,9.5,-2,1604
10,10.5,0,1817.7
18,10.5,-2,10051
10,6.08,0,1458.2
10,11,2.4,2095
16,11,1,7708.9
12,12.6,-2,3391.9
22,6.08,1.05,15719.2
22,12.6,-1,22446.1
20,11,1,15164
20,9.5,-1,13717.9
14,8.44,3,5973.6
16,6.08,3.84,6113.4
23.5,11.8,3,28909.3
12,6.08,6,2038.8
24.5,11.8,-3,30614.2
14,9.5,0,5352.8
16,10.5,4,9513.4
10,9.5,2.6,1900
22,6.08,3.84,15654.6
16,10.5,-3,7047.1
14,12.6,-1,5583.9
16,11.8,3,9146.9
24.5,11,0,28297.6
14,9.5,2.6,5961.7
24.5,9.5,-3,26769.9
16,9.5,-2,7043.3
24.5,9.5,2.6,27603.1
14,6.08,0,4503.3
23.5,11,-2,24472.8
